id,tweet_link,tweet_link_decision,text,created_at,favorite_count,retweet_count,lang,user_id,user_name,user_screen_name,twitter_profile_link,twitter_profile_link_decision,botometer_score,botometer_calculation_date,user_followers_count,user_friends_count,user_favourites_count,user_listed_count,user_statuses_count,user_description,user_location,user_created_at,user_verified,user_protected,manual_bot_check,threshold_date,account_age,label
1500815176773341188,https://twitter.com/Podolyak_M/status/1500815176773341188,,"Barbarians of the XXI century. Russia damaged/destroyed 202 schools, 34 hospitals, 1500+ residential buildings. 900+ our settlements are completely deprived of light, water, heat. The Russian army doesn’t know how to fight against other armies. But it’s good at killing civilians https://t.co/VAqaIurWN8",Mon Mar 07 12:46:36 +0000 2022,4162,2493,en,1498176452084256772,Михайло Подоляк,Podolyak_M,https://twitter.com/Podolyak_M,,0.0,,208111,76,0,1676,380,Adviser to the Head of the Office of President of Ukraine Volodymyr Zelenskyy / Official Telegram page: http://t.me/M_Podolyak,Ukraine,2022-02-28 06:01:33+00:00,True,False,,2022-02-24 00:00:00+00:00,-5,misinfo
1501825596736819201,https://twitter.com/SputnikInt/status/1501825596736819201,unavailable post,"#BREAKING | US-funded bio labs in Ukraine conducted research into bat coronavirus, Russian MoD says  https://t.co/nwHY5YDqIk https://t.co/Ym14qmLOUz",Thu Mar 10 07:41:39 +0000 2022,267,167,en,34262462,Sputnik,SputnikInt,https://twitter.com/SputnikInt,Account Withheld,,,357021,302,29,7106,187094,"Sputnik is a global wire, radio and digital news service. We exist to tell the stories that aren’t being told.",,2009-04-22 12:55:28+00:00,True,False,,2022-02-24 00:00:00+00:00,4690,misinfo
1496736533096894464,https://twitter.com/gal_suburban/status/1496736533096894464,,"""Jatras:""""you're right MSM will carry the NATO narrative. Russia has long since made up its mind they don't care what people say. They've got their ducks in a row militarily. Russians learned militarily in Syria - they can target in precise ways the structures they wish to destroy"""" https://t.co/qkZHVidXsM""",Thu Feb 24 06:39:32 +0000 2022,17,7,en,1316468089018609670,MindF©️k,gal_suburban,https://twitter.com/gal_suburban,,2.0,,34033,6802,166767,254,73650,Judge me by the enemies I have made. ~ FDR  @gal_suburban@toad.social,Chasing Rabbits,2020-10-14 19:57:17+00:00,False,False,,2022-02-24 00:00:00+00:00,497,misinfo
1535591601912823811,https://twitter.com/jreichelt/status/1535591601912823811,,"Wenn man so ohne Maske im Zug sitzt, wie Bundesminister Cem Özdemir, kommt auf Geheiß der Bundesregierung die Bundespolizei und zieht einen raus. Unsere Regierung genießt offenbar Immunität gegen die eigenen Regeln.",Sat Jun 11 11:55:42 +0000 2022,4055,910,de,19069018,Julian Reichelt,jreichelt,https://twitter.com/jreichelt,,0.0,,144691,927,2657,805,19831,I'll be back.,Berlin,2009-01-16 14:45:26+00:00,True,False,,2022-02-24 00:00:00+00:00,4786,misinfo
1496972684915265537,https://twitter.com/SenatorLankford/status/1496972684915265537,,Russia is funding their unprovoked attack on Ukraine through their oil &amp; gas revenue. Biden needs to open up the Keystone Pipeline &amp; cut off the spigot to Russia’s oil &amp; gas. https://t.co/wEwSrsRqdo,Thu Feb 24 22:17:55 +0000 2022,353,119,en,225921757,Sen. James Lankford,SenatorLankford,https://twitter.com/SenatorLankford,,0.1,01/06/2023,114722,694,1453,2149,9656,"Follower of Christ, husband to Cindy, father of two daughters serving the state of Oklahoma in the United States Senate.","Oklahoma and Washington, DC",2010-12-12 20:33:07+00:00,True,False,,2022-02-24 00:00:00+00:00,4091,misinfo
1521335909874114560,https://twitter.com/TheEldenDevos/status/1521335909874114560,,Reports that multiple Polish airborne units have been put on high alert to assist Ukraine in keeping infrastructure in Lviv and Volyn oblasts safe. These were spread on pro Russian telegrams however they do appear genuine. Only time will tell #russia #Ukraine️ #Poland #OSINT https://t.co/oILs6Z98hN,Tue May 03 03:48:40 +0000 2022,3,3,en,1462636508456931334,Elden Devos,TheEldenDevos,https://twitter.com/TheEldenDevos,Doesn't exist,,,260,86,24488,8,13160,"I’m 17 btw, Geopolitics and flight tracker commentary that no one asked for. Currently covering Russia/Ukraine ✡️","El Paso, TX",2021-11-22 04:18:22+00:00,False,False,,2022-02-24 00:00:00+00:00,93,misinfo
1584547788335251462,https://twitter.com/mfa_russia/status/1584547788335251462,,"💬 Russian Defence Ministry: According to the information at hand, two organisations of Ukraine have been ❗ directly ordered to create the so-called #dirtybomb.   ☢️ The works are at their concluding stage. https://t.co/7mxxCpWSWK",Mon Oct 24 14:10:06 +0000 2022,1564,738,en,255471924,MFA Russia 🇷🇺,mfa_russia,https://twitter.com/mfa_russia,,0.0,,568174,1444,22693,5385,69705,Ministry of Foreign Affairs of Russia 🇷🇺 (Official account) | Country's account @Russia | По-русски @MID_RF | Español @MAE_Rusia | Arabic - @russia_ar,Russia,2011-02-21 12:45:22+00:00,True,False,,2022-02-24 00:00:00+00:00,4020,misinfo
1570404571209506816,https://twitter.com/jungewelt/status/1570404571209506816,,Bei seinem gestrigen Truppenbesuch in #Isjum posierte neben #Selenskij ein Soldat mit einem Patch der Ukrainischen Aufständischen Armee (UPA) (rot/schwarz). Die UPA beteiligte sich während des WWII an der Ermordung jüdischer Mitbürger und kollaborierte mit Nazideutschland. https://t.co/FGHhX3Ykkf,Thu Sep 15 13:30:01 +0000 2022,120,50,de,222929165,junge Welt,jungewelt,https://twitter.com/jungewelt,,0.1,,37802,701,5962,596,67820,"Überregionale, linke deutsche Tageszeitung mit Berichten und Analysen.  Impressum: http://bit.ly/3z4e8it  Hier geht's zum jW-ABO: http://jungewelt.de/abo/",Berlin,2010-12-04 21:45:43+00:00,False,False,,2022-02-24 00:00:00+00:00,4099,misinfo
1497212500554702853,https://twitter.com/jimboRespecter/status/1497212500554702853,suspended account,"BREAKING NEWS: Ghost of Kyiv has been shot down per @APNews he had 15 kills. No parachute, he leaves behind his husband and 3 dogs. RIP Ghost https://t.co/hkBwjJF2Cc",Fri Feb 25 14:10:51 +0000 2022,789,149,en,1481103730716168193,🇺🇸🦅😎 JIMBO (no kneeling) DICKSON🇺🇸🦅😎,jimboRespecter,https://twitter.com/jimboRespecter,account suspended,,,550,256,2852,7,587,I LOVE GOD 🙏🏻🧎 AND DONALD TRUMP 🦅🇺🇸🦅🇺🇸🦅🇺🇸🦅🇺🇸,,2022-01-12 03:20:33+00:00,False,False,,2022-02-24 00:00:00+00:00,42,misinfo
1501728110407991299,https://twitter.com/ddale8/status/1501728110407991299,,"There is an internationally viral story, repeated by lots of news sites, that Leonardo DiCaprio made a $10 million donation to Ukraine in part because his grandma is from there.  DiCaprio didn't donate $10 million and has no family member from Ukraine, a source close to him says.",Thu Mar 10 01:14:16 +0000 2022,8214,2362,en,225265639,Daniel Dale,ddale8,https://twitter.com/ddale8,,0.0,,1233050,1634,18864,11208,109714,"Reporter for CNN, fact-checking the president and others.",Washington DC,2010-12-11 04:18:41+00:00,True,False,,2022-02-24 00:00:00+00:00,4092,misinfo
